id;sk;en;
aboutUs.text6;Z malého čierneho klbka vyrástla bláznivá, vždy zvedavá, krásna slečna s veľkou chuťou pracovať. Začali sme s ňou chodiť na výstavy, mňa priviedla k športovej kynológii, vyliečila ma z prehnanej poriadkumilovnosti, Áron pri nej ožil a to najhlavnejšie, stala sa pre nás veselou a oddanou spoločníčkou pri všetkých aktivitách.;The tiny black bundle grew into a frisky, always curious, beautiful, keen lady. We started attending exhibitions with her, she inspired me to take up to sports cynology, she cured me of my obsessive tidiness, and most importantly, Áron became much livelier around her, she became a cheerful and devoted companion of ours on all fronts.
aboutUs.text7;Ako sme krôčik po krôčiku pracovali s Legenou, klíčila v nás túžba mať jej šteniatko, tak sme založili chovnú stanicu.;The training process and the amazing progress made with Legenda awoke the desire to have our own puppies, that finally resulted in founding a breeding station.;
aboutUs.text8;V 06/2022 sme založili chovateľskú stanicu Vita Amoris s cieľom zachovať v šteniatkach Legendinu hravosť, dravosť, bláznivosť a venovať sa chovu tohto nádherného elegantného plemena so zameraním na zdravie a pracovitosť.;In June 2022, we founded the kennel Vita Amoris with the aim of preserving Legenda's playfulness, ferocity and elán in the puppies, and to devote ourselves to the business of breeding of this beautiful and elegant canine with an emphasis on health and agility.

about-doberman.title;Zistite niečo o dobermanovi;Learn about the Dobermann;
about-doberman.title1;Krajina pôvodu;Country of Origin;
about-doberman.paragraph1;Nemecko;Germany;
about-doberman.title2;Vznik plemena;The Origins of the Breed;
about-doberman.paragraph2;19. storočie;19th Century;
about-doberman.title3;Vzhľad;Appearance;
about-doberman.paragraph3;krátkosrsté veľké plemeno;short-haired large breed;
about-doberman.title4;Výška;Height;
about-doberman.paragraph4;63 - 68 cm (suky), 68 - 72 cm (psy);63-68 cm (female), 68-72 cm (male);
about-doberman.title5;Oficiálna stránka;Official Website;
about-doberman.paragraph5;dobermann.sk;dobermann.sk;
about-doberman.title6;Sekcia;Section;
about-doberman.paragraph6;Pinče a bradáče;Pinschers and Schnauzers;
about-doberman.title7;Využitie;Employment;
about-doberman.paragraph7;strážne a obranné plemeno;to guard and protect;
about-doberman.title8;Farba;Colour;
about-doberman.paragraph8;čierna s pálením, hnedá s pálením;black and rust, brown and rust;
about-doberman.title9;Hmotnosť;Weight;
about-doberman.paragraph9;32-45 kg;32-45 kg;

why-doberman.title;Prečo si vybrať dobermana?;Why choose a Dobermann?;
why-doberman.title1;Inteligentný;Intelligent;
why-doberman.paragraph1;Doberman je vysoko inteligentný pes, vďaka čomu sa ľahko trénuje a reaguje na príkazy.;The Dobermann is a highly intelligent dog, which makes it easy to train and obey.;
why-doberman.title2;Verný;Loyal;
why-doberman.paragraph2;Je známy svojou silnou lojalitou k majiteľom a ich rodinám a veľmi si ich chráni.;It is well known for its strong loyalty to its owners as well as their families, and is very protective of them.;
why-doberman.title3;Plný energie;Energetic;
why-doberman.paragraph3;Doberman má veľa energie a vyžaduje pravidelný pohyb, aby zostal zdravý a šťastný.;The Dobermann has a lot of energy, and requires regular exercise to keep fit and happy.;
why-doberman.title4;Odvážný;Fearless;
why-doberman.paragraph4;Doberman je nebojácny a v prípade potreby bude brániť svoju rodinu.;The Dobermann is fearless and very protective of his family.;
why-doberman.title5;Perfektný strážny pes;Excellent Watchdog;
why-doberman.paragraph5;Má vysokú úroveň ostražitosti, čo z neho robí skvelého strážneho psa.;A high level of vigilance makes him a great guard dog.;
why-doberman.title6;Trénovateľný;Trainable;
why-doberman.paragraph6;Doberman je dobre trénovateľný a dokáže sa naučiť rôzne povely a triky, vďaka čomu je skvelý pre výcvik poslušnosti a iné druhy psích športov.;The Dobermann is highly trainable and easy to teach a variety of commands and tricks, making it suitable for obedience training and other dog sports.

activities.title;A to hlavné, je skvelý spoločník pri každej aktivite;The best thing is - you get a brilliant company for all types of activities;
activities.title1;Keď chcete oddychovať  ;Downtime;
activities.title2;Pri oslave sviatkov;Partytime;
activities.title3;Keď máte chuť sa hrať;Playtime;
activities.title4;Na dovolenke v horách;In the great outdoors;
activities.title5;NA túre;Hiking;
activities.title6;Pri kúpaní sa v bazéne;Pooltime;

our-dog.title;Zoznámte sa s našou fenkou;Meet our Female;
our-dog.subtitle;Legenda;Legenda;
our-dog.paragraph;Je to bláznivá potvora s neskutočnou chuťou pracovať. Bystrá, ľahko sa učí nové veci, teší ju pochvala. Výmyselníčka, ktorej nerobí problém otvoriť si dvere, roldor, skrinky. Miluje mojkanie, “pusinkovanie”. Za pamlsok ci loptičku je ochotná urobiť čokoľvek. Psích kamarátov si vyberá.;A frisky brute with an incredible desire to work. A smartie, learns easily, enjoys praise. An inventive creature having no problems opening your doors, wardrobes, cabinets. Loves cuddling and petting. She is willing to do anything for a treat or a ball. She chooses has a very selective taste of canine friends.
our-dog.video;A má rada hudbu. Pozrite si klip 😊;Loves Music. Check the clip 😊;

our-puppies.title;Chcete aj vy svojho dobermana? ;Dreaming of your own Doberman?;
our-puppies.subtitle;Čoskoro budeme mať šteniatka;Puppies are on the way;
our-puppies.paragraph1;Plánujeme vrh A.;Planning Cast A in the pipeline;
our-puppies.paragraph2;Ak všetko pôjde ako má, bude odber šteniatok možný približne na prelome júna/júla 2023.;Provided all goes well, your puppies will be ready to collect late June, or early July 2023;

contact.title;Kontaktujte nás;Contact Us;
contact.form.title;Vyžiadajte si obhliadku;Request a meeting;
contact.form.name;Meno a priezvisko;First Name and Surname;
contact.form.email;Email;Email;
contact.form.phone;Tel. číslo;Phone Number;
contact.form.message;Správa;Message;
contact.form.name.placeholder;napr. Jožko Mrkvička;e.g. Jožko Mrkvička;
contact.form.email.placeholder;vzor@email.com;sample@email.com;
contact.form.message.placeholder;Chcel by som si dohodnúť stretnutie...;I would like to make an appointment;
contact.form.submitBtn;Poslať správu;Send a Message;
contact.form.required;Povinné pole;Mandatory/Compulsory/Obligatotry Field;
contact.form.pattern;Nesprávny tvar;Incorrect/Wrong Typing;
contact.form.successMsg;Správa bola úspešne odoslaná!;The message was successfully sent;
contact.form.failMsg;Odoslanie správy zlyhalo;Message sending failed;

footer.title;Vita Amoris;Vita Amoris;
footer.subtitle;Chovná stanica;Breeding Station;
footer.text1; © Vita Amoris - Dizajn zo; © Vita Amoris - Design from;
footer.text2;vytvoril ;created by;
footer.phone.title;Telefónne číslo;Phone Number;
footer.phone.text;+421 903 277 291;+421 903 277 291;
footer.email.title;Email;Email;
footer.email.text;kennel@vitaamoris.sk;kennel@vitaamoris.sk;
footer.facebook.title;Sledujte nás na facebooku;Follow Us on Facebook;

photogallery.title1;Áron a Legenda;Áron and Legenda;
photogallery.title2;Tréning s Legendou;Training with Legenda;
